,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
26,Data Analyst,$70K-$95K (Glassdoor est.),"Healthgrades is focused on providing trusted information that allows consumers and providers to make meaningful connections. As a Data Analyst focused on our Physician Relationship Management platform your primary areas of responsibility and accountability will be:
Data Querying and Data Management
Generating Data Driven Reports and Applications
Organizing and Reporting Results to Stakeholders
Presenting Findings and Recommendations
What you will do:
Conduct statistical research and analysis in support of our clients
Share findings and recommendations with team members in sales, marketing, creative, and campaign operations
Help our clients understand what information most influences their customers
Use SQL, Excel, data reference tools, etc. to look at Big Data and develop compelling stories
What you will bring:
Bachelor's degree in Computer Science, Applied Analytics, Healthcare Analytics, or equivalent experience
2+ years' experience in data analytics
Understanding of SQL data relationships and structures
Experience with large-scale relational databases, data transformation, and data queries using Microsoft SQL
Ability to translate data findings into actionable recommendations and process improvements
Ideal Candidates will have also experience in digital and direct marketing, campaign management, and presenting data findings to stakeholders from across the business including executives.

Why Healthgrades?

At Healthgrades, we recognize that our people drive our greatest achievements. We are passionate about maintaining a fulfilling, rewarding and high-energy work environment while setting the stage for continued success.
Impactful Work empowering consumers with data to make the right decisions for themselves and their families
Changing the Game evolving culture with career advancement opportunities
Community Builders collaborating with local charity and wellness initiatives
Robust Perks generous PTO, 401k contributions, tuition assistance, entertainment discounts and more!",2.9,"Healthgrades
2.9","Denver, CO",-1,501 to 1000 Employees,1998,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
27,Senior Analyst/Data Scientist,$70K-$95K (Glassdoor est.),"At Edmunds were driven to make car buying easier. Ever since we began publishing printed car guides in the 60s, the company has been in the business of trust, innovating ways to empower and support car shoppers. When Edmunds launched the car industrys first Internet site in 1994, we established a leadership position online and have never looked back. Now, as one of the most trusted review sites on the Internet, millions of visitors use our research, shopping and buying tools every month to make an easy and informed decision on their next car. For consumers, we bring peace of mind. For dealers, we make tools to help them solve their problems and sell more cars. How do we do it, you ask? The key ingredients are our enthusiastic employees, progressive company culture and cutting-edge technology. Want to join the team? Read on to find out how!

What Youre Applying For:

Edmunds is seeking a skilled, creative and enthusiastic Senior Analyst/Data Scientist experienced in generating actionable insights from large sets of data, measuring business performance, and identifying areas of growth and optimization using advanced analytical (modeling, machine learning) and experimental approaches.

The ideal candidate is also a natural problem-solver that enjoys working with large data sets and is proactive in exploring database tables and using data to make clear and convincing business cases.

The analyst will play a crucial role in supporting our Tier 1 team by developing, improving, and maintaining digital advertising revenue forecasts & models, monitoring major KPIs, and understanding impact to other areas of the business. This person will be expected to understand the details and complexity of the companys digital advertising revenue to ensure that the executive team has a clear and accurate pulse of the business, and recommend action plans to optimize against the companys revenue goals, and identifying areas of optimization and growth by extracting insights through modeling, testing and experimentation.

In addition, this person will be expected to take ownership of projects to continually improve reporting quality through automation. This person will also be expected to promote the use of self-service analytic tools across internal clients, and provide training for these tools.

This individual will be tasked to work cross-functionally with Product, Sales, Ad Operations, and Paid Media teams to optimize digital advertising products and revenue through A/B testing and experimentation, measuring and uncovering results based on changes to website traffic & consumer site behaviors, and recommending areas of paid marketing spend.

The right candidate will have experience working across business and functional boundaries, partnering with internal clients to provide decision-making support through analytic insights.

This is a great opportunity for an individual with significant business acumen that is interested in playing with the wealth of structured and unstructured data that is available within the car buying ecosystem. Curiosity and business intellect a must.

What Youll Do:
Develop, evaluate, refine, and automate analytic models using data to address business needs, and identify areas of optimization and growth
Prepare visualizations of data in order to explain and persuade
Design, conduct and lead complex analyses that mine, extract, track, report and analyze performance metrics
Provide recommendations to key stakeholders and support the business need
Create and produce forecasts, reports, ad hoc requests, dashboards, etc. utilizing our data warehouse and other data source systems and summarize your findings
Interact with multiple teams in different departments and define requirements for reporting
Challenges:
Edmunds is a fast growing and innovative company. Qualified candidate should possess strong project management skills, and an ability to multitask and balance competing priorities
What You Need:
Strong analytical and data mining skills
Excellent data extraction and manipulation skills - SQL experience required
Strong data modeling / statistical analysis / predictive modeling experience required (R and/or Python)
Excellent presentation and communication skills
Exposure to BI tools such as Tableau is a plus
Bachelors degree in a quantitative field, such as mathematics, statistics, physics, computer science, business analytics, etc. with at least 5 years of relevant and progressively complex work experience
Working @ Edmunds.com:

Employees think its a pretty great place to work and some pretty impressive publications think it is too: we have been recognized as one of the best places to work by the Fortune Magazine and Great Places to Work, LA Business Journal (for the last 6 years!), Computerworld, and Built in LA. We've also been identified as one of the best workplaces specifically in Technology and also for Diversity and Asian Americans. In fact, our CEO, Avi Steinlauf, was rated as one of Glassdoor's Highest Rated CEOs! If youre interested in learning more and joining our mission, wed love to hear from you!

Edmunds will consider for employment qualified candidates with criminal histories in a manner consistent with the requirements of all applicable laws.

*LI-POST",3.6,"Edmunds.com
3.6","Santa Monica, CA",-1,501 to 1000 Employees,1966,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
28,Data Analyst,$70K-$95K (Glassdoor est.),"At TrialCard, our passion is success - success for clients, success for us. You’ll notice who comes first. We’re committed to providing solutions, through innovation and unparalleled customer support, to the pharmaceutical industry to improve access and affordability of their medicines to patients. We work tirelessly on the behalf of our clients, because when they succeed, so do we.
The Data Analyst will support internal stakeholders through the aggregation of data for reporting and analytical purposes. The candidate must have the ability to manipulate and normalize data in a way that helps support accurate reporting and foster operational standardization. The Data Analyst will also work cross-functionally to gather and translate requirements across business units creating synergies and developing efficiencies.
The candidate must be an excellent communicator (both orally and written) and be able to effectively foster interactive collaboration and discussions among clients and internal TrialCard teams. The Data Analyst must be able to present analyses and conclusions in a logical and clear manner and must be able to effectively work as part of a team.

Assists program managers with ad-hoc and standardized reports through data manipulation and raw data extracts.
Works directly with business users and decision-makers to gather and document requirements and define scope to ensure accurate development of reporting solutions.
Works primarily within SQL, Excel, and MicroStrategy platforms for data manipulation.
Performs continuous audits to ensure standard, consistent, and quality master data in catering systems is valid and correct.
Supports and maintains current Quality Assurance Program to ensure continued effectiveness within the department.
Identifies additional data, reporting and analytic opportunities to support our pharmaceutical clients and scope work necessary to fulfill them.
Maintains master data lists through additions and revisions when identified by the business users.
Performs and documents procedures for data preparation including data cleaning, standardization and analysis.
Develops and maintains operational dashboards for key decision-makers.
Standardizes and cleanses raw data using predefined rules as well as establishing new rules as needed.
Translates business requirements into reporting requirements/mock-ups for BI and MicroStrategy teams.

Bachelor’s degree in Math, Statistics, Economics, Finance, Computer Science, Engineering or similar discipline.
Must have 2+ years of related data-management, analytics, or business intelligence experience.
Solid technical writing skills; ability to clearly and completely articulate work to be done and describe tasks using proper terminology.
Experience interpreting data and presenting meaningful, client-ready business insights.
Demonstrated application of analytical skills.
Mid-level proficiency in SQL programming and common query optimization techniques for data extraction.
Advanced Excel and/or Access skills. (e.g., VLOOKUP, SUMIF, Macros)
Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience designing and implementing enterprise business intelligence solutions using Microstrategy, Microsoft SSRS or similar highly desirable.
Knowledge of the pharmaceutical industry highly desirable.
Knowledge of direct marketing highly desirable.
Experience in the healthcare industry is highly desirable.",3.3,"TrialCard
3.3","Morrisville, NC",-1,1001 to 5000 Employees,2001,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
29,"Data Scientist, Health Economics & Advanced Analytics",$70K-$95K (Glassdoor est.),"Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health
3.2","Washington, DC",-1,201 to 500 Employees,2000,Company - Public,Consulting,Business Services,Less than $1 million (USD),-1
30,Principal Data Scientist,$75K-$121K (Glassdoor est.),"Technology. Flexibility. Diversity. At the center of it all are the Digital Accelerator and Advanced Analytics teams at Cummins, working together as a high-energy startup within a Fortune 500 organization. At this Midwestern technology hub, today’s sharpest, most curious minds transform what-ifs into realities.

#LifeAtCummins is about POWERING YOUR POTENTIAL . You’ll have global opportunities to develop your career and make your community a better place - to break ground professionally and be your best personally.

This is an exciting opportunity in Columbus, IN for a Principal Data Scientist

Manages and Implements advanced analytics projects which solve complex analytical problems using quantitative approaches through a combination of analytical, mathematical and technical skills.

Researches, designs, implements and validates cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes by leveraging complex statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques.

Liaises with business stakeholders and leverages business knowledge to industrialize and monetize insights from advanced analytics projects.

Leads key objectives and business goals through the use of data science methodology.

Leverages data science methodology to more complex business problems.

Creates algorithms using more complex statistical methodologies through the use of statistical programming languages and tools.

Partners with domain experts to verify model capabilities and translate modeling outputs from statistical inferences into business language.

Partners with IT resources to enable appropriate data flow/data model, development using appropriate tools/technology, rapid prototyping and informs the design of analytical products.

Trains and mentors less experienced employees on data science tools and methodologies.

Qualifications

Skills:

Abstract Reasoning - Envisions a solution before implementation by analyzing data, extracting patterns and relationships to establish a problem or solution's feasibility; develops new algorithms and analytical models using process diagrams, flow charts, and textual documentation to explain or conceptualize a complex problem.

Data Mining - Identifies relationships and patterns in data by using a suite of data exploration and data visualization techniques using tools such as PowerBI, R Shiny, SAS JMP, and extracts insights into multivariate data by applying principles of multivariate data mining, small sample statistical inferential tests, dimension reduction techniques to understand the underlying structure of the data and enable sound conclusions upon model building.

Predictive Modeling - Develops statistical and machine learning models using appropriate variable transformations, feature selection strategies, imputation strategies, class rebalancing, resampling strategies and performance metrics to generate descriptive, explanatory or predictive models.

Statistical Foundations - Builds statistical explanatory models for regression, classification, outlier detection, anomaly detection, time series forecasting using knowledge of foundational statistics such as Null Hypotheses Significance Tests, regression models, generalized linear modeling, time series analysis, rank statistics, probability distribution fitting survival analysis, etc. to validate hypotheses or generate predictions for any given statistical or business question.

System Simulation - Creates models of interconnected systems under dynamic operating conditions using mathematical models for physical and mechanical systems (such as Markov chains and Monte Carlo methods) and various simulation packages to reproduce the behavioral characteristics of the system(s) being simulated and to gain insight into how the system(s) reacts under different operating conditions.

Requirements Analysis - Evaluates relationships and interdependencies between requirements based upon their complexity and value to the business in order to determine feasibility and prioritization.

Strategic Roadmap Planning - Produces a high-level, multi-year product and capability roadmap utilizing internal and external business resource, asset and market knowledge and experience to communicate the organization's focus and priorities to internal and external stakeholders.

Customer focus - Building strong customer relationships and delivering customer-centric solutions.

Manages complexity - Making sense of complex, high quantity, and sometimes contradictory information to effectively solve problems.

Balances stakeholders - Anticipating and balancing the needs of multiple stakeholders.

Directs work - Providing direction, delegating, and removing obstacles to get work done.

Drives results - Consistently achieving results, even under tough circumstances.

Experience:

Minimum of 7 years of professional experience

Education, Licenses, Certifications

College, university, or equivalent degree in statistics, information systems or related field required.

PhD or Master’s degree in Statistics, Econometrics, Computer Science, or equivalent experience preferred.

Compensation and Benefits

Base salary rate commensurate with experience. Additional benefits vary between locations and include options such as our 401(k) Retirement Savings Plan, Cash Balance Pension Plan, Medical/Dental/Life Insurance, Health Savings Account, Domestic Partners Coverage and a full complement of personal and professional benefits.

Cummins and E-verify

At Cummins, we are an equal opportunity and affirmative action employer dedicated to diversity in the workplace. Our policy is to provide equal employment opportunities to all qualified persons without regard to race, gender, color, disability, national origin, age, religion, union affiliation, sexual orientation, veteran status, citizenship, gender identity and/or expression, or other status protected by law. Cummins validates right to work using E-Verify. Cummins will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS), with information from each new employee’s Form I-9 to confirm work authorization.

Ready to think beyond your desk? Apply for this opportunity to start your career with Cummins today. careers.cummins.com

Not ready to apply but want to learn more? Join our Talent Community to get the inside track on great jobs and confidentially connect to our recruiting team https://www.cumminstalentcommunity.com/profile/join/

#DAAAI

Job
SYSTEMS/INFORMATION TECHNOLOGY
Primary Location
United States-Indiana-Columbus-US, IN, Columbus, Sears Building
Job Type
Experienced - Exempt / Office
Recruitment Job Type Exempt - Experienced
Job Posting
Mar 6, 2020, 6:17:23 PM
Unposting Date
Ongoing",3.8,"Cummins Inc.
3.8","Columbus, IN",-1,10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
31,"Computational Biologist / Data Scientist, Oncology",$75K-$121K (Glassdoor est.),"15-Sep-2020

Job ID
302852BR
{""QuestionName"":""Job Description"",""AnswerValue"":""1 purpose...to reimagine medicine! Novartis Institutes for BioMedical Research, Inc. (NIBR) is seeking a computational biologist / bioinformatics analyst to join the Novartis Oncology Data Science Team. Oncology Data Science provides computational biology expertise to NIBR Oncology, from target ID through clinical development, for both targeted and immune therapies. We apply cutting edge technologies and analytical approaches to elucidate the molecular basis for therapeutic response in individual cancer patients. Using sequencing data generated from thousands of Novartis oncology clinical trial samples, we bring hypotheses from biomarker discovery to bear on drug discovery and development.

We are seeking a highly motivated bioinformatics scientist to perform analysis of next-generation sequencing data (e.g bulk and single cell RNA-sequencing, tumor and cell-free DNA-sequencing) from clinical trial samples. The successful candidate will work collaboratively with computational biologists and clinical trial teams and will contribute to the interpretation of candidate biomarkers. Specific job responsibilities include:

•Supporting genomic biomarker profiling studies in oncology clinical trials
•Designing and performing analyses of genomic data (gene expression and genetic variation) and clinical variables to test and discover biomarkers for response and resistance to therapy
•Implementing and developing innovative analytical approaches with translational impact for clinical genomic data
•Providing biological interpretation of biomarkers
•Performing assessment of quality control metrics
•Communicating key findings and biological context to clinical trial teams

Posting Title
Computational Biologist / Data Scientist, Oncology",4.0,"Novartis
4.0","Cambridge, MA",-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
32,Marketing Data Analyst,$75K-$121K (Glassdoor est.),"Overview:
Can you work in a relationship with other people where it requires ongoing flexibility?
Do you have an upbeat, positive attitude?
Do you take pride in knowing you are helping to make things happen?

If you can answer yes to these questions, Idaho Central Credit Union may have an opportunity ideally suited for you.

As a Marketing Data Analyst, your primary function is to interpret credit union data, analyze results and implement decisions based on the data. You will be responsible for turning data into information and insight that aids in campaign and business decisions. Also you will be responsible for performing a range of functions in support of market research, market assessment and campaign implementation.

Responsibilities:

Assist in managing technical aspects of key marketing systems (marketing automation, CRM, data warehouse) used to generate, distribute, and report.
Establish and maintain scalable processes that ensure best practices in campaign and lead management.
Create and maintain metrics reports on marketing and sales activities, effectiveness, and business impact.
Analyze marketing and sales data to develop insights and make recommendations on areas for optimization
Monitor and maintain data quality within the marketing database.
Evaluate new technologies and add-on applications to improve and optimize marketing team performance.
Manage membership targeting to strengthen relationships, prevent attrition, and increase profitability.
Leverage web and email engagement to create member insight and data to help improve individual experiences with our digital channels.
Generate and govern segmentation efforts by developing queries and custom reports, target groups, and campaigns for product and service performance.
Track all marketing campaigns and provide meaningful analysis and insight for future efforts.
Analyze consumer segments and other demographic information from the membership database to provide insight for product development, usage, and cross-sell opportunities.
Manage third-party vendor integration with marketing systems including Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Integrator MCIF, Encompass CRM and Microsoft Power BI.
Represent the Credit Union at community events as needed.

Qualifications:

Bachelor’s Degree in Marketing, Mass Communication, Advertising or related field. 5-9 years of experience with database marketing required. Preferable experience with: Raddon Integrator MCIF, Salesforce Marketing Cloud, Salesforce Advertising Studio, Salesforce CRM, Adobe Analytics, Microsoft Power BI, SQL, and data warehouse experience. Strong analytical skills. Proficiency in marketing automation systems and integrating those systems with other technologies. Technically capable, excellent communicator and a desire to improve processes. Math skills, Secondary-level computer knowledge including Microsoft Office, especially Excel and pivot tables, etc. Ability to maintain the confidentiality of Credit Union and member records at all times. A demonstrated cooperative and positive attitude toward members and other Credit Union staff. Professional in appearance, attendance, quality, and quantity of work performed. Ability to analyze member needs, develop, and coordinate marketing activities to fit member needs with Credit Union products and services. Must be willing to comply with the Bank Secrecy Act and USA Patriot Act as implemented by Idaho Central Credit Union. Team member will be asked to work extended/unique hours.

Perform tasks requiring manual dexterity (processing paperwork, filing, stapling, sorting, collating, typing, counting cash, etc.) Sit for extended periods of time. Lift 20-40 pounds of office supplies (copy paper, computer paper, mail, etc). Some heavy lifting may be required in order to execute proper event logistics. Repetitive motion using wrists, hands, and fingers. Reach keyboards. Ability to operate basic office machines (calculator, computer, telephone, copy machine, fax machine, etc).

Must be eligible for membership at Idaho Central Credit Union to obtain employment.

EOE/Minorities/Females/Vet/Disability

Idaho Central Credit Union is a dynamic financial institution that is focused on helping our members achieve financial success. Established in 1940 we have become the largest and fastest growing financial institution in the state of Idaho. ICCU was voted for large companies the Best Place to work in Idaho. We have also been named by S&P Global Market Intelligence as the top performing credit union in the nation. We are a talent based organization looking for talented individuals to help our members achieve financial success.",4.2,"Idaho Central Credit Union
4.2","Chubbuck, ID",-1,1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
33,Business Intelligence Analyst,$75K-$121K (Glassdoor est.),"Join a small, dynamic data-warehouse (DWH) team responsible for providing detailed documentation for the development of the company’s Data Warehouse. This position is not just a technical position, but a marketing/consumer/business person with strong analytical skill set. Must be hands on in this analytical role, with strong SQL skillset.

· Experience with use of data warehouse tables and operational data, to effectively write and modify SQL queries of moderate to difficult complexity.

· Support data analytic requests by gathering and documenting report requirements, validating the data, and presenting results to end customer. For involved data-extracts and reports – to precisely specify requests at a detailed field-level.

· Partner with IT, Marketing, Finance, Ecommerce, Inventory Planning, Executive team, and Merchandising for AmeriMark and Dr. Leonard’s to the information needed in order to solve business problems.

· Work with data warehouse developers to organize data in ways that will allow for more effective and accurate analysis.

· Work with IT teams to help support and troubleshoot data integrity issues utilizing the data warehouse. Work as the liaison between IT and Marketing to support internal software program.

· Develop and monitor on demand and Adhoc reports using Excel, SSRS, and SQL Server. Establish a sense of ownership of new and existing stored procedures and automated SSRS and legacy reports that are being utilized by the business.

· Become familiar with the tables and complex logic that was created to support the Analytic Data Mart load process and business rules.

· Run weekly Financial analyses of unit contribution considering various costs, scenario analysis for Finance and Marketing departments reports to management.

· Assist Marketing with financials to create factors based on prior year performance for completing their future Catalog budget plans.
Job Requirements*
· BA/BS degree or equivalent in customer science (or comparable) Database programming certification or equivalent is also acceptable.

· Advanced T-SQL skills (3+ Years)

· Experience with SQL Server Reporting Services (SSRS) or similar BI-reporting and dash boarding tools (Power BI, Tableau) – both from a report-design perspective and from hands-on delivery/refinement to end user needs.

· Data manipulation, transformation, and automation using SQL to transform files from outside vendor for very complex holdout (A/B) test scenarios.

· Complex problem-solving skills and ability to work with large amounts of data.

· Multi-dimensional cube (SSAS) experience a plus to support Merchandising who is utilizing the tool.

· Keep up to date documentation for all business requests and processes and data warehouse tables in modern data dictionary.

· Experienced in communication with peers and senior management.

· Strong computer skills in Excel and Microsoft Office Suite. Excellent mathematical skills.

· Strong work ethic.

· Good organization skills required. Ability to multitask and establish sense of urgency for challenging problems.

· Experience with catalog/direct mail industry, multi-channel selling, catalog planning and execution processes, merchandise management, promotion, design and reading of basic A/B market tests and test with varied factors, as well as development of key customer KPI’s is desirable.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible spending account
Health insurance
Life insurance
Paid time off
Referral program
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Experience:
T-SQL: 3 years (Required)
Education:
Bachelor's (Required)
Location:
Cleveland, OH 44130 (Required)
Application Question:
Are you local to the Cleveland area? Relocation may not be available for this position.
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",2.2,"AmeriMark Direct
2.2","Cleveland, OH",-1,201 to 500 Employees,-1,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,-1
34,Electromagnetics Scientist,$75K-$121K (Glassdoor est.),"Riverside Research has an immediate opening in the Beavercreek, Ohio area for an Electromagnetics Scientist. The candidate will perform modeling analysis of EM interactions with various materials in defined configurations.

All Riverside Research opportunities require U.S. citizenship.

IND2

Job Responsibilities:
• Provide analysis of Effects for models
• Provide support for field testing materials and sensors under high power RF and laser illumination
• Perform and coordinate analysis with project sponsor
• Perform modeling and simulation for RF/EM characterization and design
Job requires 40 - 80 days of travel to include weekends and international travel
• Other duties as assigned

Qualifications:
• Masters degree in related science or engineering field or equivalent experience. PHD preferred.
• Must currently have a Secret level security clearance. Preference will be given to those holding an active TS with SCI eligibility
• 5 years of experience with High Power Microwave (HPM)/Electromagnetic Pulse (EMP) measurements and related data interpretation
• Experience in EM/RF modeling and simulation
• Experience in signal analysis and composites; hands on work with aircraft and/or missile components
• Experience with MATLAB, Microwave Studio, and/or Python. Security + certification desired
• Ability to work as both an individual as well as a member of a team
• Exceptional communication skills, both oral and written
• Other duties as assigned

Resumes must demonstrate specialized experience that is typically in or related to the work of the position to be filled and also demonstrate particular knowledge, skills, and abilities, to successfully perform the duties of the position.

Desired Qualifications:
• Preference will be given to those holding an active TS with SCI eligibility
• Security + certification desired

Riverside Research strives to be one of America’s premier providers of independent, trusted technical and scientific expertise. As we continue to add experienced, technically astute staff, we are looking for highly motivated, talented team members that can help our DoD and Intelligence Community (IC) customers continue delivery of world class programs. As a not-for-profit, technology-oriented Defense Company, we believe service to customers and support of our staff is our mission. Our goal is to serve as a destination company by providing an industry-leading, positive, and rewarding employee experience for all who join us. We aspire to be a valued partner to our customers and to earn their trust through our unwavering commitment to achieve timely, innovative, cost-effective and mission-focused solutions.

All positions at Riverside Research are subject to background investigations. Employment is contingent upon successful completion of a background investigation including criminal history and identity check.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-741.5(a). This regulation prohibits discrimination against qualified individuals on the basis of disability, and requires affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified individuals with disabilities.

This contractor and subcontractor shall abide by the requirements of 41 CFR 60-300.5(a). This regulation prohibits discrimination against qualified protected veterans, and requires affirmative action by covered contractors and subcontractors to employ and advance in employment qualified protected veterans.",3.4,"Riverside Research
3.4","Wright Patterson AFB, OH",-1,501 to 1000 Employees,1967,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),-1
35,Bioinformatics Scientist,$75K-$121K (Glassdoor est.),"Job Description: *
The successful candidate will develop bioinformatics pipelines and analysis software to support clinical assays. As part of this role the candidate will collaborate with staff from the clinical laboratory, research & development and IT/Engineering. Scientist will provide data analysis support for the R&D group during assay development. He/She will be called upon to analyze problems, and provide algorithmic solutions. Candidate will continually evaluate new open source and commercial bioinformatics software, to identify the best solutions for the lab. The bioinformatics scientist will collect user requirements and specifications from various groups. Candidate must have experience in good software documentation practices, included the process of developing documentation to execute installation qualifications, performance qualifications, and operational qualifications. This position will be responsible for training laboratory staff, and in maintaining the bioinformatics pipelines in the production environment. Candidate will stay apprised of relevant bioinformatics literature.
Requirements: *
Experience developing NGS analysis pipelines for a CLIA/CAP approved laboratory.
Software development in a Linux based environment and must be an expert user in shell programming.
Experience developing software for both the cloud (AWS) and for SGE high performance clusters.
Experience in a high-level programming or scripting language such as Python, Java, perl, C.
Experience interacting with LIMS system and integrating pipelines with LIMS systems.
Experience with various bioinformatics tools for variant calling and alignments.
Background in statistical analysis a plus.
Experience working in an Agile development environment.
Some experience performing wetlab work a plus.
Minimum PhD, MS + 2 years.
Job Type: Full-time

Benefits:
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
License:
PhD (Preferred)
Work Location:
One location
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Innovative -- innovative and risk-taking
Team-oriented -- cooperative and collaborative
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible",-1,OME Wellness,"San Diego, CA",-1,-1,-1,-1,-1,-1,-1,-1
36,DATA SCIENTIST,$75K-$121K (Glassdoor est.),"JOB SUMMARY

The position will focus on building products to democratize machine learning and consequently improve the cost and quality of patient care. This position involves development of tools that accelerate analytics and machine learning for the organization. Developing models that encompass all aspects of hospital operations, including clinical, operational, and financial data. Also responsible for teaching data analysts and software engineers how to work effectively with vast quantities of data
This position requires full understanding and active participation in fulfilling the Mission of Blessing Health System. It is expected that the employee demonstrate behavior consistent with the Core Values while supporting the strategic plan, goals and direction of the Performance Improvement Process (PIP) at Blessing Health System.

JOB QUALIFICATIONS

Education/Training/Experience:
REQUIRED:
Graduate or post graduate university degree in the field of computer science, mathematics, or statistics,
Minimum of 5 years’ experience in healthcare analytics
Fluency with at least one scripting language such as Python, Perl, etc.
Expert knowledge of statistical analysis tools such as R, Matlab, etc.
Experience with very large datasets
Proficient with Microsoft Word, Excel and other office projects required.
Excellent written and verbal communication skills.
Pay Status:
EXEMPT

IND0

Blessing Health System provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Blessing Health System complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Blessing Health System expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Blessing Health System’s employees to perform their job duties may result in discipline up to and including discharge.

19437

Location: Blessing Hospital · DECISION SUPPORT
Schedule: Full-Time, Days, Monday-Friday, 8:00am-5:00pm, 40 hours weekly",3.8,"Blessing Hospital
3.8","Quincy, IL",-1,1001 to 5000 Employees,1875,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
